序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、您的性别	2、?您认为大学生的心理健康是否应该引起重视，请选择一个符合的选项	3、?您对心理健康知识了解多少，请选择一个符合的选项	4、您了解心理健康的途径是什么，请勾选所有符合的选项（多选题）	5、你总有明确的生活目标并在为之不懈奋斗吗？	6、如果在学习过程中出现学习效率低下、压力过大的状况，你会觉得心烦气躁吗？	7、?在考试考证前，您是否对自己信心不足，情绪烦躁，看过书本但记住很少请选择一个符合的选项	8、你认为压力在你的学习生活中有什么作用？	9、?您生活的压力主要来自，请勾选所有符合的选项（多选题）	10、?你觉得自己的心理承受能力强吗，请选择一个符合的选项	11、?您和周围认识的人是否闹过矛盾，请选择一个符合的选项	12、您是否经常跟家人朋友交流感情，聊天谈笑请选择一个符合的选项	13、?您是否曾因同学间的攀比而产生困扰，请选择一个符合的选项	14、?当情绪低落时，您如何调节，请勾选所有符合的选项（多选题）	15、你如何看待在校大学生自杀事件，请勾选所有符合的选项（多选题）	16、?你的大学恋爱观是怎样？请选择一个符合的选项	17、大学毕业之后你对未来的选择是？	18、?面对如此严峻的就业形势你会有所担忧，请选择一个符合的选项	19、?请问您觉得学校可以如何去进行心理健康教育，请勾选所有符合的选项（多选题）	20、?如果有一场心理讲座，你希望主题是什么请选择一个符合的选项	21、 目前，你急需解决的心理问题是什么？你希望以什么方式获得帮助
5	2021/5/28 9:12:17	265秒	手机提交	直接访问	223.104.150.121(江苏-扬州)	女	必须重视	了解一点	跟朋友聊天时了解到┋看相关电影┋其他〖老师授课〗	有	经常会	否	正面影响，会为学习带来动力	学习压力┋就业压力	一般	偶尔	经常	较少	倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	就业	有所担忧	多举行心理讲座┋设立心理咨询室┋组织团体活动	情绪调节	目前没有
6	2021/5/28 11:13:47	114秒	手机提交	直接访问	223.104.13.171(河北-石家庄)	女	必须重视	了解一点	浏览网页┋看相关电影	有	经常会	是	正面影响，会为学习带来动力	学习压力	一般	很少	经常	较少	参加户外活动转移注意力┋其他:〖学习〗	以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	考研	会	多举行心理讲座	学习方法	对学习的焦虑
7	2021/5/28 11:17:30	101秒	手机提交	直接访问	220.196.192.250(上海-上海)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力	很弱	偶尔	经常	有时	参加户外活动转移注意力┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋组织团体活动	情绪调节	人际关系交往 与朋友倾诉
8	2021/5/28 11:19:06	83秒	手机提交	直接访问	210.51.42.165(上海-上海)	女	必须重视	了解一点	浏览网页┋听讲座┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋人际关系┋考试考证	一般	很少	偶尔	没有	参加户外活动转移注意力┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	人际关系交往 与朋友倾诉
9	2021/5/28 11:19:31	91秒	手机提交	直接访问	210.51.42.158(上海-上海)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋听讲座	没有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	很少	经常	较少	参加户外活动转移注意力	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	考研	会	设立心理咨询室┋组织团体活动	如何处理学习和工作	人际关系交往 与朋友倾诉
10	2021/5/28 11:20:05	119秒	手机提交	直接访问	223.104.103.104(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊	不知道	有时会	是	没感觉	学习压力┋经济问题┋考试考证	一般	偶尔	偶尔	较少	参加户外活动转移注意力	压力过大，能够理解	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋组织团体活动	情绪调节	学习焦虑
11	2021/5/28 11:21:56	77秒	手机提交	直接访问	183.198.246.47(河北-唐山)	女	必须重视	了解很多┋了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	偶尔	偶尔	有时	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	考研	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	学习焦虑
12	2021/5/28 11:22:49	106秒	手机提交	直接访问	112.224.152.84(山东-未知)	男	应该重视	了解一点	浏览网页┋阅读书刊	不知道	经常会	是	正面影响，会为学习带来动力	学习压力┋家庭问题┋考试考证	很强	很少	从来没有	没有	倒头大睡，不去想任何事情┋一个人生闷气	非常鄙视自杀之人，枉费父母和社会的栽培	人生大事，应该用心经营，从一而终	考研	会	网络心理咨询	如何处理学习和工作	学习焦虑
13	2021/5/28 11:24:47	96秒	微信	N/A	223.104.103.62(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	不知道	有时会	是	没感觉	学习压力┋感情压力┋人际关系┋经济问题┋就业压力	一般	偶尔	经常	有时	倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题	只在乎曾经拥有，不在乎天长地久	还没想过	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	暂时没有
14	2021/5/28 12:17:17	195秒	手机提交	直接访问	221.192.181.2(河北-石家庄)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	偶尔	偶尔	有时	参加户外活动转移注意力┋找人倾述	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题	只在乎曾经拥有，不在乎天长地久	考研	会	设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	暂时没有
1	2021/5/27 22:46:59	151秒	微信	N/A	117.136.78.47(山东-烟台)	男	必须重视	了解一点	浏览网页┋阅读书刊┋看相关电影	不知道	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋考试考证┋就业压力	一般	很少	偶尔	有时	参加户外活动转移注意力┋找人倾述┋无法排解低落情绪	对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会	设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	自制力，心理知识普及
2	2021/5/27 22:47:20	177秒	微信	N/A	117.136.2.136(河北-保定)	女	应该重视	了解一点	浏览网页┋跟朋友聊天时了解到┋听讲座	不知道	经常会	是	正面影响，会为学习带来动力	学习压力┋经济问题┋考试考证	一般	很少	很少	没有	倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	无
3	2021/5/27 22:54:30	106秒	微信	N/A	101.19.7.10(河北-保定)	女	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	偶尔	偶尔	有时	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	暂时没有
4	2021/5/28 10:42:10	131秒	微信	N/A	223.104.101.2(河北-沧州)	女	必须重视	了解一点	跟朋友聊天时了解到	有	有时会	否	正面影响，会为学习带来动力	学习压力┋人际关系	一般	偶尔	经常	较少	找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	组织团体活动	如何和他人交往	如何委婉拒绝他人
5	2021/5/28 10:42:43	234秒	微信	N/A	223.104.193.65(山东-东营)	女	必须重视	了解一点	跟朋友聊天时了解到┋看相关电影	没有	有时会	是	较为负面影响，会影响情绪	学习压力┋就业压力	一般	很少	偶尔	没有	通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨	只在乎曾经拥有，不在乎天长地久	考研	会	设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	(空)
6	2021/5/28 10:52:37	541秒	微信	N/A	221.192.238.7(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋听讲座	有	比较少	否	没感觉	学习压力	很强	很少	经常	较少	参加户外活动转移注意力┋其他:	压力过大，能够理解┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	情绪调节	(空)
7	2021/5/28 10:53:33	107秒	微信	N/A	221.192.178.18(河北-沧州)	女	应该重视	了解一点	听讲座	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系┋家庭问题┋考试考证┋就业压力┋其他	一般	偶尔	偶尔	较少	倒头大睡，不去想任何事情┋一个人生闷气┋其他:	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动┋其他:	如何和他人交往	(空)
8	2021/5/28 10:57:27	353秒	微信	N/A	223.104.13.178(河北-石家庄)	女	应该重视	了解一点	浏览网页	不知道	有时会	否	正面影响，会为学习带来动力	学习压力	一般	偶尔	很少	有时	参加户外活动转移注意力	以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	考研	会	多举行心理讲座	学习方法	烦恼，
9	2021/5/28 11:06:36	233秒	微信	N/A	112.224.149.216(山东-未知)	女	应该重视	了解一点	阅读书刊┋跟朋友聊天时了解到	有	有时会	是	正面影响，会为学习带来动力	学习压力	很强	很少	经常	没有	参加户外活动转移注意力┋找人倾述	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	就业	有所担忧	设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	(空)
10	2021/5/28 11:22:38	107秒	微信	N/A	111.61.205.240(河北-邢台)	女	必须重视	了解很多┋了解一点	浏览网页┋阅读书刊	有	有时会	是	没感觉	学习压力┋人际关系┋考试考证	一般	没有	很少	没有	倒头大睡，不去想任何事情	压力过大，能够理解	人生大事，应该用心经营，从一而终	考研	有所担忧	组织团体活动	情绪调节	(空)
11	2021/5/28 12:58:52	108秒	微信	N/A	112.224.149.103(山东-未知)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	没有	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	一般	很少	经常	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	就业	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	(空)
12	2021/5/29 17:43:27	229秒	微信	N/A	27.187.162.233(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋看相关电影	没有	有时会	是	正面影响，会为学习带来动力	学习压力┋人际关系┋家庭问题┋经济问题┋考试考证	一般	没有	偶尔	有时	参加户外活动转移注意力┋一个人生闷气	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会	多举行心理讲座┋设立心理咨询室┋组织团体活动	如何和他人交往	无
1	2021/5/24 21:02:13	196秒	微信	N/A	221.192.238.13(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊	不知道	有时会	否	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题┋考试考证	一般	很少	经常	较少	参加户外活动转移注意力┋一个人生闷气┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋网络心理咨询┋组织团体活动	如何和他人交往	与父母不和     疏导
2	2021/5/24 21:05:18	201秒	微信	N/A	112.224.2.145(山东-未知)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋看相关电影	有	有时会	否	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系	一般	偶尔	经常	较少	通过暴饮暴食发泄不满情绪┋一个人生闷气┋无法排解低落情绪	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋网络心理咨询┋组织团体活动	情绪调节	无
3	2021/5/24 21:07:53	106秒	微信	N/A	39.144.85.155(河北-邯郸)	男	必须重视	了解一点	浏览网页┋阅读书刊┋听讲座	不知道	经常会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋家庭问题┋经济问题┋考试考证┋就业压力	很强	偶尔	经常	较少	一个人生闷气	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会	组织团体活动	学习方法	无
4	2021/5/24 21:15:42	133秒	微信	N/A	58.249.112.20(广东-广州)	女	应该重视	了解一点	浏览网页┋听讲座┋其他〖课程〗	有	经常会	否	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋考试考证	很强	很少	经常	有时	通过暴饮暴食发泄不满情绪┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	充满信心	设立心理咨询室┋网络心理咨询	如何和他人交往	无
5	2021/5/24 21:37:55	549秒	微信	N/A	183.197.87.54(河北-邯郸)	男	必须重视	了解一点	阅读书刊┋其他〖保密〗	有	有时会	否	正面影响，会为学习带来动力	学习压力┋其他〖隐私〗	一般	很少	经常	较少	参加户外活动转移注意力┋其他:〖不告知〗	非常鄙视自杀之人，枉费父母和社会的栽培┋以此为鉴，努力疏导自声心理问题	人生大事，应该用心经营，从一而终	考研	充满信心	组织团体活动┋其他:〖不告知〗	情绪调节	暂时不用
6	2021/5/24 22:20:50	148秒	微信	N/A	183.197.40.168(河北-石家庄)	女	必须重视	了解很少	浏览网页┋阅读书刊┋听讲座	有	有时会	否	正面影响，会为学习带来动力	学习压力┋人际关系┋经济问题┋考试考证	很强	很少	经常	没有	参加户外活动转移注意力┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋组织团体活动	情绪调节	无
7	2021/5/24 22:37:31	95秒	微信	N/A	101.27.80.53(河北-保定)	女	必须重视	了解很少	浏览网页┋阅读书刊┋听讲座┋看相关电影	有	经常会	是	较为负面影响，会影响情绪	学习压力┋经济问题┋考试考证┋就业压力	一般	很少	偶尔	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋找人倾述┋无法排解低落情绪	社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	无
8	2021/5/25 1:23:27	960秒	微信	N/A	223.104.103.253(河北-邯郸)	男	应该重视	了解很少	浏览网页┋跟朋友聊天时了解到┋听讲座	有	有时会	是	较为负面影响，会影响情绪	人际关系	一般	很少	偶尔	有时	参加户外活动转移注意力	社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	充满信心	多举行心理讲座┋设立心理咨询室┋组织团体活动	如何和他人交往	建立人脉圈
9	2021/5/25 8:05:52	112秒	微信	N/A	113.115.62.244(广东-广州)	男	应该重视	了解一点	阅读书刊┋听讲座┋看相关电影	有	有时会	是	没感觉	学习压力┋人际关系	一般	没有	经常	没有	参加户外活动转移注意力┋其他:〖打游戏〗	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	充满信心	多举行心理讲座┋设立心理咨询室	如何处理学习和工作	无
10	2021/5/25 8:21:09	122秒	手机提交	直接访问	116.162.1.67(湖南-长沙)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	经常会	是	正面影响，会为学习带来动力	学习压力┋考试考证┋就业压力	很强	很少	经常	没有	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋一个人生闷气┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何处理学习和工作	增压
11	2021/5/25 8:32:02	126秒	手机提交	直接访问	39.129.5.12(云南-昆明)	女	必须重视	了解一点	浏览网页┋听讲座┋看相关电影	没有	比较少	否	没感觉	经济问题┋就业压力	一般	很少	经常	没有	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	压力过大，能够理解┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业	会	多举行心理讲座┋设立心理咨询室	情绪调节	无
12	2021/5/25 8:32:28	239秒	微信	N/A	223.104.102.217(河北-秦皇岛)	男	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋看相关电影	不知道	有时会	否	没感觉	学习压力┋人际关系┋经济问题┋考试考证┋就业压力	很强	很少	偶尔	较少	参加户外活动转移注意力┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	有所担忧	多举行心理讲座┋设立心理咨询室	如何和他人交往	人机关系
13	2021/5/25 8:33:52	163秒	手机提交	直接访问	183.92.248.36(湖北-武汉)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋听讲座┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系	一般	偶尔	偶尔	有时	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	考研	有所担忧	设立心理咨询室	如何和他人交往	无
14	2021/5/25 8:54:32	141秒	手机提交	直接访问	218.12.15.18(河北-石家庄)	男	必须重视	了解一点	跟朋友聊天时了解到┋其他〖老师〗	不知道	经常会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋经济问题	很弱	偶尔	偶尔	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋一个人生闷气	压力过大，能够理解┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	就业	有所担忧	多举行心理讲座┋组织团体活动	情绪调节	无
15	2021/5/25 9:09:41	98秒	手机提交	直接访问	218.12.15.16(河北-石家庄)	男	必须重视	了解一点	阅读书刊┋跟朋友聊天时了解到┋听讲座	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系	很强	偶尔	经常	较少	参加户外活动转移注意力┋找人倾述┋其他:〖打球听音乐〗	非常鄙视自杀之人，枉费父母和社会的栽培┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	无
16	2021/5/25 9:13:54	131秒	微信	N/A	218.26.54.185(山西-太原)	女	应该重视	了解一点	浏览网页┋阅读书刊	不知道	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系	一般	偶尔	经常	有时	参加户外活动转移注意力┋找人倾述	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	设立心理咨询室┋网络心理咨询	情绪调节	无，匿名聊天
17	2021/5/25 9:23:23	133秒	手机提交	直接访问	220.167.46.63(四川-成都)	男	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋听讲座	不知道	有时会	是	没感觉	学习压力┋感情压力	很强	没有	偶尔	没有	参加户外活动转移注意力	以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询	如何处理学习和工作	无
18	2021/5/25 9:23:44	242秒	微信	N/A	223.167.0.247(上海-上海)	女	必须重视	了解很少	浏览网页┋跟朋友聊天时了解到	没有	有时会	是	较为负面影响，会影响情绪	学习压力┋人际关系	一般	很少	偶尔	较少	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪┋一个人生闷气┋找人倾述┋无法排解低落情绪	社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	还没想过	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	有时孤独的感觉，对生活的迷茫，不知道闲时该做些什么
19	2021/5/25 10:56:12	156秒	手机提交	直接访问	117.136.64.84(四川-成都)	女	必须重视	了解一点	浏览网页┋跟朋友聊天时了解到┋看相关电影	没有	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋家庭问题	一般	很少	很少	较少	一个人生闷气┋无法排解低落情绪	压力过大，能够理解┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会	设立心理咨询室┋网络心理咨询	如何和他人交往	无
20	2021/5/25 15:39:24	118秒	手机提交	直接访问	223.104.103.53(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋听讲座	不知道	有时会	是	没感觉	学习压力	一般	很少	经常	较少	参加户外活动转移注意力┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题	一种美好的经历，帮助我成长	考研	充满信心	多举行心理讲座┋组织团体活动	情绪调节	学习压力大，希望有人能够分享方法
21	2021/5/26 10:05:32	101秒	手机提交	直接访问	221.192.238.12(河北-保定)	女	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	有	有时会	否	较为负面影响，会影响情绪	感情压力┋考试考证┋就业压力	一般	很少	偶尔	没有	参加户外活动转移注意力┋通过暴饮暴食发泄不满情绪	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考公务员	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	情绪调节	无
1	2021/5/27 9:39:35	131秒	手机提交	直接访问	101.27.83.141(河北-保定)	男	必须重视	了解一点	阅读书刊┋听讲座┋看相关电影	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋人际关系┋就业压力	很强	偶尔	经常	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题	人生大事，应该用心经营，从一而终	考研	有所担忧	多举行心理讲座┋设立心理咨询室	情绪调节	(空)
2	2021/5/27 9:40:02	74秒	手机提交	直接访问	101.27.83.141(河北-保定)	男	应该重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系	一般	很少	很少	较少	参加户外活动转移注意力┋一个人生闷气┋找人倾述	对引发事件发生的社会原因和学校的责任非常慷慨┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	网络心理咨询┋组织团体活动	如何和他人交往	感情
3	2021/5/27 9:50:47	552秒	手机提交	直接访问	36.98.170.198(河北-未知)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到	不知道	有时会	是	较为负面影响，会影响情绪	学习压力┋感情压力┋人际关系┋经济问题┋就业压力	一般	偶尔	很少	有时	无法排解低落情绪	对引发事件发生的社会原因和学校的责任非常慷慨	只在乎曾经拥有，不在乎天长地久	考研	有所担忧	网络心理咨询┋组织团体活动	如何和他人交往	(空)
4	2021/5/27 9:56:10	134秒	手机提交	直接访问	101.27.83.141(河北-保定)	男	必须重视	了解一点	阅读书刊┋跟朋友聊天时了解到┋听讲座	不知道	有时会	是	正面影响，会为学习带来动力	人际关系┋家庭问题┋经济问题	一般	偶尔	偶尔	有时	参加户外活动转移注意力	社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	会	设立心理咨询室	如何和他人交往	(空)
5	2021/5/27 10:12:11	94秒	手机提交	直接访问	218.12.13.9(河北-石家庄)	男	必须重视	了解一点	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力┋家庭问题┋经济问题	一般	偶尔	经常	较少	参加户外活动转移注意力┋倒头大睡，不去想任何事情	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	人生大事，应该用心经营，从一而终	考研	会	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	无
6	2021/5/27 10:29:53	56秒	手机提交	直接访问	221.192.238.11(河北-保定)	男	必须重视	了解一点	浏览网页┋阅读书刊	有	有时会	是	正面影响，会为学习带来动力	学习压力┋感情压力	一般	偶尔	经常	经常	通过暴饮暴食发泄不满情绪┋倒头大睡，不去想任何事情┋无法排解低落情绪	对引发事件发生的社会原因和学校的责任非常慷慨┋非常鄙视自杀之人，枉费父母和社会的栽培	一种美好的经历，帮助我成长	考公务员	充满信心	设立心理咨询室┋组织团体活动	学习方法	(空)
7	2021/5/28 11:21:51	87秒	手机提交	直接访问	221.192.238.10(河北-保定)	女	必须重视	了解很多	浏览网页┋阅读书刊┋跟朋友聊天时了解到┋听讲座	没有	有时会	是	正面影响，会为学习带来动力	学习压力┋人际关系┋考试考证┋就业压力	很强	偶尔	偶尔	较少	倒头大睡，不去想任何事情┋一个人生闷气	压力过大，能够理解┋对引发事件发生的社会原因和学校的责任非常慷慨┋以此为鉴，努力疏导自声心理问题┋社会应更多得关心大学生生活状况	一种美好的经历，帮助我成长	考研	有所担忧	多举行心理讲座┋设立心理咨询室┋网络心理咨询┋组织团体活动	如何和他人交往	无
